Κωδικός Συστήματος,Εμβαδόν,Όροφος,Σύνολο ορόφων,Ασανσέρ,Θέα,Έτος κατασκευής,Έτος ανακαίνισης,Τιμή,Αρχική Τιμή
18382976,100,7.0,,1,1.0,1962.0,,295.0,
17912456,100,3.0,6.0,1,0.0,2005.0,,300.0,
18726382,110,5.0,5.0,1,1.0,1964.0,2025.0,325.0,
17922936,117,2.0,,1,1.0,2024.0,,368.0,
18368250,120,2.0,7.0,1,1.0,1978.0,2020.0,230.0,
18600310,100,2.0,6.0,1,1.0,1975.0,1990.0,210.0,
17586440,115,7.0,8.0,1,1.0,1966.0,2025.0,490.0,
18219908,115,4.0,5.0,1,1.0,1977.0,,220.0,
18838004,110,1.0,2.0,0,1.0,1955.0,,170.0,
17182830,106,2.0,2.0,0,0.0,1992.0,,200.0,
19067951,117,2.0,,1,0.0,1977.0,2020.0,285.0,
16716686,117,6.0,,1,1.0,2024.0,,320.0,
17389167,105,6.0,,1,0,2024.0,,365.0,
18765041,170,5.0,,1,1.0,2023.0,,440.0,
