Τιμή
245.0
171.0
400.0
370.0
229.0
300.0
199.0
450.0
230.0
850.0
488.0
280.0
480.0
250.0
265.0
410.0
187.0
190.0
230.0
199.0
280.0
390.0
285.0
230.0
300.0
165.0
695.0
350.0
187.0
490.0
300.0
340.0
360.0
420.0
270.0
187.0
180.0
328.0
460.0
170.0
228.0
255.0
135.0
490.0
230.0
270.0
325.0
490.0
318.0
540.0
460.0
325.0
180.0
250.0
430.0
475.0
265.0
320.0
395.0
315.0
200.0
270.0
230.0
290.0
320.0
240.0
350.0
365.0
450.0
269.0
180.0
630.0
310.0
690.0
258.0
325.0
310.0
380.0
325.0
420.0
185.0
290.0
295.0
220.0
170.0
570.0
200.0
365.0
200.0
240.0
240.0
290.0
190.0
390.0
689.0
250.0
295.0
460.0
210.0
730.0
460.0
295.0
300.0
325.0
368.0
230.0
210.0
490.0
220.0
170.0
200.0
285.0
320.0
365.0
440.0
